,movieId,title,genres,genres_split,count,avg_rating,frac_cnt,popular
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",215.0,3.9209302325581397,0.6534954407294833,2.5623100303951367
1,2,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",110.0,3.4318181818181817,0.3343465045592705,1.14741641337386
2,3,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']",52.0,3.2596153846153846,0.1580547112462006,0.5151975683890577
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",7.0,2.357142857142857,0.02127659574468085,0.05015197568389058
4,5,Father of the Bride Part II (1995),Comedy,['Comedy'],49.0,3.0714285714285716,0.14893617021276595,0.4574468085106383
5,6,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",102.0,3.946078431372549,0.3100303951367781,1.2234042553191489
6,7,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']",54.0,3.185185185185185,0.1641337386018237,0.5227963525835866
7,8,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']",8.0,2.875,0.0243161094224924,0.06990881458966565
8,9,Sudden Death (1995),Action,['Action'],16.0,3.125,0.0486322188449848,0.1519756838905775
9,10,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",132.0,3.496212121212121,0.4012158054711246,1.4027355623100304
10,11,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",70.0,3.6714285714285713,0.2127659574468085,0.7811550151975684
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']",19.0,2.4210526315789473,0.057750759878419454,0.1398176291793313
12,13,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']",8.0,3.125,0.0243161094224924,0.07598784194528875
13,14,Nixon (1995),Drama,['Drama'],18.0,3.8333333333333335,0.0547112462006079,0.20972644376899696
14,15,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']",13.0,3.0,0.03951367781155015,0.11854103343465044
15,16,Casino (1995),Crime|Drama,"['Crime', 'Drama']",82.0,3.926829268292683,0.24924012158054712,0.9787234042553191
16,17,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']",67.0,3.7761194029850746,0.20364741641337386,0.7689969604863222
17,18,Four Rooms (1995),Comedy,['Comedy'],20.0,3.7,0.060790273556231005,0.22492401215805471
18,19,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy'],88.0,2.727272727272727,0.2674772036474164,0.7294832826747719
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",15.0,2.5,0.04559270516717325,0.11398176291793313
20,21,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']",89.0,3.49438202247191,0.270516717325228,0.9452887537993921
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",36.0,3.2222222222222223,0.1094224924012158,0.3525835866261398
22,23,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",16.0,3.125,0.0486322188449848,0.1519756838905775
23,24,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']",28.0,3.125,0.0851063829787234,0.26595744680851063
24,25,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']",76.0,3.625,0.23100303951367782,0.837386018237082
25,26,Othello (1995),Drama,['Drama'],13.0,3.5,0.03951367781155015,0.13829787234042554
26,27,Now and Then (1995),Children|Drama,"['Children', 'Drama']",9.0,3.3333333333333335,0.02735562310030395,0.0911854103343465
27,28,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']",11.0,4.2272727272727275,0.03343465045592705,0.1413373860182371
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",38.0,4.0131578947368425,0.11550151975683891,0.46352583586626145
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"['Crime', 'Drama']",3.0,3.0,0.00911854103343465,0.027355623100303948
30,31,Dangerous Minds (1995),Drama,['Drama'],38.0,3.1842105263157894,0.11550151975683891,0.3677811550151976
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']",177.0,3.983050847457627,0.5379939209726444,2.1428571428571432
32,34,Babe (1995),Children|Drama,"['Children', 'Drama']",128.0,3.65234375,0.3890577507598784,1.4209726443768997
33,36,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']",67.0,3.8358208955223883,0.20364741641337386,0.7811550151975685
